name,estimator,auc,ci_lo,ci_hi,n,n_speakers,boot_unit,draws,source,note
Qwen2.5-Omni Pitt encoder probe,"five split nested, mean of per-seed AUCs",0.7706,0.7324,0.848,468,228,speaker,2000,overnight2/part10/pitt_enc_nested5_oof.npz,"CI from the across-seed mean score; per-seed AUCs 0.7598, 0.7725, 0.7459, 0.7903, 0.7843"
Qwen3-Omni adress2020 ans probe,single split nested OOF,0.8861,0.8302,0.9338,156,156,speaker,2000,overnight2/q3o_new/q3o_adress2020_ans_nested_oof.csv,
Qwen3-Omni adress2020 enc probe,single split nested OOF,0.846,0.784,0.9004,156,156,speaker,2000,overnight2/q3o_new/q3o_adress2020_enc_nested_oof.csv,
Qwen3-Omni adress2020 llm probe,single split nested OOF,0.8752,0.8159,0.9263,156,156,speaker,2000,overnight2/q3o_new/q3o_adress2020_llm_nested_oof.csv,
Qwen3-Omni adress2020 proj probe,single split nested OOF,0.808,0.7363,0.8709,156,156,speaker,2000,overnight2/q3o_new/q3o_adress2020_proj_nested_oof.csv,
Qwen3-Omni adresso ans probe,single split nested OOF,0.8809,0.8352,0.923,237,237,speaker,2000,overnight2/q3o_new/q3o_adresso_ans_nested_oof.csv,
Qwen3-Omni adresso enc probe,single split nested OOF,0.8718,0.8262,0.9142,237,237,speaker,2000,overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv,
Qwen3-Omni adresso llm probe,single split nested OOF,0.9324,0.9004,0.9604,237,237,speaker,2000,overnight2/q3o_new/q3o_adresso_llm_nested_oof.csv,
Qwen3-Omni adresso proj probe,single split nested OOF,0.8535,0.8048,0.8994,237,237,speaker,2000,overnight2/q3o_new/q3o_adresso_proj_nested_oof.csv,
Qwen3-Omni edaic ans probe,single split nested OOF,0.5182,0.4365,0.5995,275,275,speaker,2000,overnight2/q3o_new/q3o_edaic_ans_nested_oof.csv,
Qwen3-Omni edaic enc probe,single split nested OOF,0.5844,0.5009,0.6635,275,275,speaker,2000,overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv,
Qwen3-Omni edaic llm probe,single split nested OOF,0.5686,0.4926,0.6473,275,275,speaker,2000,overnight2/q3o_new/q3o_edaic_llm_nested_oof.csv,
Qwen3-Omni edaic proj probe,single split nested OOF,0.5607,0.484,0.6447,275,275,speaker,2000,overnight2/q3o_new/q3o_edaic_proj_nested_oof.csv,
Qwen3-Omni kcl ans probe,single split nested OOF,0.6815,0.4807,0.875,37,37,speaker,2000,overnight2/q3o_new/q3o_kcl_ans_nested_oof.csv,
Qwen3-Omni kcl enc probe,single split nested OOF,0.7738,0.5921,0.9328,37,37,speaker,2000,overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv,
Qwen3-Omni kcl llm probe,single split nested OOF,0.7589,0.5666,0.9256,37,37,speaker,2000,overnight2/q3o_new/q3o_kcl_llm_nested_oof.csv,
Qwen3-Omni kcl proj probe,single split nested OOF,0.8036,0.6211,0.9633,37,37,speaker,2000,overnight2/q3o_new/q3o_kcl_proj_nested_oof.csv,
Qwen3-Omni neurovoz ans probe,single split nested OOF,0.9366,0.8988,0.9672,1270,107,speaker,2000,overnight2/q3o_new/q3o_neurovoz_ans_nested_oof.csv,
Qwen3-Omni neurovoz enc probe,single split nested OOF,0.9196,0.8678,0.9584,1270,107,speaker,2000,overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv,
Qwen3-Omni neurovoz llm probe,single split nested OOF,0.9188,0.8748,0.9532,1270,107,speaker,2000,overnight2/q3o_new/q3o_neurovoz_llm_nested_oof.csv,
Qwen3-Omni neurovoz proj probe,single split nested OOF,0.9253,0.8812,0.9593,1270,107,speaker,2000,overnight2/q3o_new/q3o_neurovoz_proj_nested_oof.csv,
Qwen3-Omni pcgita ans probe,single split nested OOF,0.893,0.8262,0.946,1100,100,speaker,2000,overnight2/q3o_new/q3o_pcgita_ans_nested_oof.csv,
Qwen3-Omni pcgita enc probe,single split nested OOF,0.9091,0.8408,0.9618,1100,100,speaker,2000,overnight2/q3o_new/q3o_pcgita_enc_nested_oof.csv,
Qwen3-Omni pcgita llm probe,single split nested OOF,0.9032,0.8406,0.9531,1100,100,speaker,2000,overnight2/q3o_new/q3o_pcgita_llm_nested_oof.csv,
Qwen3-Omni pcgita proj probe,single split nested OOF,0.8995,0.8323,0.953,1100,100,speaker,2000,overnight2/q3o_new/q3o_pcgita_proj_nested_oof.csv,
Qwen3-Omni pitt ans probe,single split nested OOF,0.8408,0.7929,0.8849,468,228,speaker,2000,overnight2/q3o_new/q3o_pitt_ans_nested_oof.csv,
Qwen3-Omni pitt enc probe,single split nested OOF,0.8442,0.7944,0.8939,468,228,speaker,2000,overnight2/q3o_new/q3o_pitt_enc_nested_oof.csv,
Qwen3-Omni pitt llm probe,single split nested OOF,0.8317,0.7828,0.8821,468,228,speaker,2000,overnight2/q3o_new/q3o_pitt_llm_nested_oof.csv,
Qwen3-Omni pitt proj probe,single split nested OOF,0.7888,0.733,0.8425,468,228,speaker,2000,overnight2/q3o_new/q3o_pitt_proj_nested_oof.csv,
"Kimi-Audio E-DAIC conflict set, zero shot answer (390 rows)","zero shot, 30 s window, voice prompt",0.6899,0.6053,0.769,390,74,speaker,2000,edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,
"Audio Flamingo 2 E-DAIC conflict set, zero shot answer (390 rows)","zero shot, 30 s window, voice prompt",0.5363,0.4289,0.6404,390,74,speaker,2000,edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,
