model,dataset,stream,auc,n,estimator,source
Audio Flamingo 2,adress2020,zero shot answer,0.6179,156,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_adress2020.csv
Audio Flamingo 2,adresso,zero shot answer,0.5911,237,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_adresso237.csv
Audio Flamingo 2,edaic,zero shot answer,0.5602,275,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_edaic275.csv
Audio Flamingo 2,edaic_conflict,zero shot answer,0.5363,390,"zero shot, 30 s window, voice prompt, 390 manifest rows",/Users/chaitanyaparwatkar/Desktop/release/edaic_conflict_new/af2/af2_edaic_conflict_30s.csv
Audio Flamingo 2,kcl,zero shot answer,0.8185,37,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_kcl37.csv
Audio Flamingo 2,neurovoz,zero shot answer,0.5792,1270,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_neurovoz1270.csv
Audio Flamingo 2,pcgita,zero shot answer,0.5771,1100,zero shot,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pcgita1100.csv
Audio Flamingo 2,pitt,zero shot answer,0.5724,468,"zero shot; canonical AF2 Pitt file (user decision 2026-09-23); conflict arm 0.6310 and agreement arm 0.5544 from the same file (rows pitt_conflict / pitt_agreement) [SUPERSEDES af2_pitt_audio.csv: pooled 0.5273, conflict 0.6691, agreement 0.4895]",/Volumes/G-Drive Pro/paper work/paper1_local_runs/af2_results/af2_pitt468.csv
Audio Flamingo 3,adress2020,zero shot answer,0.4929,156,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/af3_new/af3_adress2020.json
Audio Flamingo 3,adresso,zero shot answer,0.5451,237,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/af3_new/af3_adresso.json
Audio Flamingo 3,edaic,zero shot answer,0.5975,275,"zero shot, 30 s window",/Users/chaitanyaparwatkar/Desktop/release/overnight2/part10/af3_edaic.json
