clip,speaker,p_yes_answer
adrso002.wav,adrso002,0.43820352045959
adrso003.wav,adrso003,0.45364464943129595
adrso004.wav,adrso004,0.6795159159221241
adrso005.wav,adrso005,0.6080074010363428
adrso006.wav,adrso006,0.7555872407465714
adrso007.wav,adrso007,0.22296831389792907
adrso008.wav,adrso008,0.5471450550863853
adrso009.wav,adrso009,0.4077586874296637
adrso010.wav,adrso010,0.23394311552946667
adrso011.wav,adrso011,0.5159575627016644
adrso012.wav,adrso012,0.3632558896863459
adrso013.wav,adrso013,0.32122366541624076
adrso014.wav,adrso014,0.43822717280370105
adrso015.wav,adrso015,0.2572044818331823
adrso016.wav,adrso016,0.46924320321760465
adrso017.wav,adrso017,0.34901341370816413
adrso018.wav,adrso018,0.42281986395803145
adrso019.wav,adrso019,0.2945872977818963
adrso020.wav,adrso020,0.4692572511822991
adrso021.wav,adrso021,0.4229279257245568
adrso022.wav,adrso022,0.12601227054314848
adrso023.wav,adrso023,0.21227672935793365
adrso024.wav,adrso024,0.23399638573245637
adrso025.wav,adrso025,0.43830386534907084
adrso027.wav,adrso027,0.33499709609364614
adrso028.wav,adrso028,0.26921683423373627
adrso029.wav,adrso029,0.33502230460049026
adrso031.wav,adrso031,0.4078256209640599
adrso032.wav,adrso032,0.3212175317631091
adrso033.wav,adrso033,0.2571627564724327
adrso035.wav,adrso035,0.36348490621838214
adrso036.wav,adrso036,0.28167815219053743
adrso037.wav,adrso037,0.3490517343627427
adrso038.wav,adrso038,0.5933133197018824
adrso039.wav,adrso039,0.3349058853151967
adrso041.wav,adrso041,0.3633166835531034
adrso042.wav,adrso042,0.42285377319158923
adrso043.wav,adrso043,0.5472477661079523
adrso044.wav,adrso044,0.3635184289480782
adrso045.wav,adrso045,0.33493981715051824
adrso046.wav,adrso046,0.4382767049032849
adrso047.wav,adrso047,0.37796668712652515
adrso049.wav,adrso049,0.32115261407679174
adrso052.wav,adrso052,0.4228491123598953
adrso053.wav,adrso053,0.3778943300299063
adrso054.wav,adrso054,0.28175547005505985
adrso055.wav,adrso055,0.469221576162656
adrso056.wav,adrso056,0.26925874662303567
adrso059.wav,adrso059,0.5004127488410057
adrso060.wav,adrso060,0.4079318054198986
adrso062.wav,adrso062,0.3927760777706348
adrso063.wav,adrso063,0.32114418844728265
adrso064.wav,adrso064,0.42303484303873584
adrso065.wav,adrso065,0.6794944878465237
adrso066.wav,adrso066,0.2693522752653724
adrso068.wav,adrso068,0.4691144512944972
adrso070.wav,adrso070,0.3927139115925086
adrso071.wav,adrso071,0.43817227862120045
adrso072.wav,adrso072,0.4848084796068993
adrso074.wav,adrso074,0.26925616730978763
adrso075.wav,adrso075,0.6931736251009424
adrso077.wav,adrso077,0.20206912011897685
adrso078.wav,adrso078,0.33490652842164814
adrso083.wav,adrso083,0.6658594280913183
adrso088.wav,adrso088,0.6228196110838524
adrso089.wav,adrso089,0.5779460652239884
adrso090.wav,adrso090,0.3349738569183721
adrso092.wav,adrso092,0.24537745223612964
adrso093.wav,adrso093,0.48485598704074606
adrso098.wav,adrso098,0.46936534273308117
adrso099.wav,adrso099,0.46919379186218413
adrso106.wav,adrso106,0.5931716453905184
adrso108.wav,adrso108,0.377975688792838
adrso109.wav,adrso109,0.4230137360417231
adrso110.wav,adrso110,0.6929947357294148
adrso112.wav,adrso112,0.2945631263194146
adrso113.wav,adrso113,0.2944834552525939
adrso116.wav,adrso116,0.4077239464051292
adrso117.wav,adrso117,0.46916465562332266
adrso118.wav,adrso118,0.5471950115997689
adrso121.wav,adrso121,0.3489462662593496
adrso122.wav,adrso122,0.37798808299660974
adrso123.wav,adrso123,0.5159538782199966
adrso124.wav,adrso124,0.6230034918102206
adrso125.wav,adrso125,0.5626258273010251
adrso126.wav,adrso126,0.4693052723713159
adrso128.wav,adrso128,0.3632746322883599
