quantity,n,mean,ci_low,ci_high
pitt answer,468,0.618,0.564,0.670
pitt projector retrained,468,0.798,0.756,0.836
pitt readout strict,468,0.784,0.742,0.827
pitt transcript only (raw),468,0.613,0.562,0.663
pitt transcript only (clean),468,0.676,0.626,0.723
pitt projector minus answer (paired),468,0.180,0.115,0.243
pitt readout minus answer (paired),468,0.167,0.102,0.230
pitt audio answer minus transcript only clean (paired),468,-0.059,-0.124,0.009
"pitt answer, conflict arm",146,0.413,0.309,0.524
"pitt readout strict, conflict arm",146,0.607,0.504,0.707
"pitt projector retrained, conflict arm",146,0.573,0.479,0.667
"pitt readout minus answer, conflict arm (paired)",146,0.195,0.043,0.344
"pitt projector minus answer, conflict arm (paired)",146,0.160,0.025,0.298
"pitt projector retrained, no plug (final layer)",468,0.763,0.720,0.806
pitt projector no plug minus answer (paired),468,0.145,0.082,0.209
pitt projector layer 24 minus no plug (paired),468,0.035,-0.004,0.073
"pitt projector no plug, conflict arm",146,0.484,0.384,0.582
"pitt projector layer 24 minus no plug, conflict arm (paired)",146,0.089,0.004,0.177
adresso answer (patient window),237,0.664,0.596,0.735
adresso transcript only (whisper-large-v3),237,0.682,0.613,0.748
adresso transcript minus answer (paired),237,0.018,-0.075,0.102
adress2020 answer pooled (patient window),156,0.681,0.598,0.762
"adress2020 answer, official test split",48,0.782,0.635,0.902
"adress2020 answer, official train split",108,0.624,0.514,0.730
kcl answer,37,0.646,0.445,0.819
kcl projector retrained,37,0.750,0.568,0.904
kcl projector minus answer (paired),37,0.104,-0.126,0.339
